date,ticker,call_volume,put_volume,total_volume,call_open_interest,put_open_interest
2025-07-14,SOFI,45957.0,30360.0,76317.0,261201.0,347125.0
2025-07-14,SHOP,6381.0,2776.0,9157.0,43601.0,41346.0
2025-07-14,ADBE,4933.0,4425.0,9358.0,33793.0,19532.0
2025-07-14,BABA,42333.0,6970.0,49303.0,172225.0,77515.0
2025-07-14,TSM,10107.0,30549.0,40656.0,114647.0,146390.0
2025-07-14,KHC,10146.0,1941.0,12087.0,52805.0,38365.0
2025-07-14,STZ,2137.0,2115.0,4252.0,20061.0,13097.0
2025-07-14,CPB,1446.0,307.0,1753.0,9214.0,3744.0
2025-07-16,TW,92.0,60.0,152.0,4735.0,2670.0
2025-07-16,NVDA,1326955.0,727193.0,2054148.0,1543671.0,1209198.0
2025-07-16,WM,570.0,154.0,724.0,5526.0,6451.0
2025-07-16,TALK,38.0,16.0,54.0,10253.0,1174.0
2025-07-16,MAPS,124.0,5.0,129.0,5764.0,23.0
2025-07-16,PG,10474.0,3863.0,14337.0,50685.0,24357.0
2025-07-16,E,20.0,3.0,23.0,107.0,13.0
2025-07-16,EIX,2569.0,222.0,2791.0,30324.0,15862.0
2025-07-16,PCG,7901.0,4641.0,12542.0,173934.0,41942.0
2025-07-16,JBL,118.0,256.0,374.0,3454.0,5017.0
2025-07-16,EPS,5.0,0.0,5.0,10.0,0.0
2025-07-16,PFE,20598.0,15914.0,36512.0,162006.0,136399.0
2025-07-16,B,3101.0,1843.0,4944.0,79696.0,26981.0
2025-07-16,JNJ,14625.0,12836.0,27461.0,54874.0,37426.0
2025-07-16,AI,15078.0,5662.0,20740.0,182553.0,27305.0
2025-07-16,ORCL,49304.0,8564.0,57868.0,74830.0,67600.0
2025-07-16,U,15134.0,11853.0,26987.0,65460.0,32206.0
2025-07-16,STT,1904.0,1911.0,3815.0,10390.0,3319.0
2025-07-16,LMT,1957.0,871.0,2828.0,16825.0,8263.0
2025-07-16,S,1046.0,37.0,1083.0,10150.0,2129.0
2025-07-16,NVMI,61.0,625.0,686.0,247.0,772.0
2025-07-16,MNDY,100.0,101.0,201.0,1140.0,605.0
2025-07-16,INTU,955.0,1504.0,2459.0,5687.0,10366.0
2025-07-16,AVGO,52946.0,31902.0,84848.0,144323.0,138027.0
2025-07-16,PLTR,244494.0,134608.0,379102.0,421646.0,345118.0
2025-07-16,NOW,3390.0,1789.0,5179.0,13622.0,10121.0
2025-07-16,LLY,16250.0,11324.0,27574.0,67563.0,29773.0
2025-07-16,AU,425.0,3531.0,3956.0,25564.0,45703.0
2025-07-16,APP,13549.0,10008.0,23557.0,56734.0,43660.0
2025-07-16,EA,315.0,492.0,807.0,7044.0,3467.0
2025-07-16,URBN,263.0,404.0,667.0,3804.0,3422.0
2025-07-16,FOX,36.0,5.0,41.0,303.0,112.0
2025-07-16,MSFT,66858.0,62833.0,129691.0,211430.0,158541.0
2025-07-16,GOOGL,200831.0,44663.0,245494.0,346565.0,191144.0
2025-07-16,NFLX,17894.0,20483.0,38377.0,68010.0,71810.0
